Knjiga,Originalni naslov,Avtor(ji),Žanri
Knjiga 79,Inkheart,"Cornelia Funke, Anthea Bell, Cornelia Funke","Adventure, Childrens, Fantasy, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 80,Mirror Mirror,"Gregory Maguire, Gregory Maguire","Adult, Fairy Tales, Fantasy, Fiction, Historical, Historical Fiction, Retellings"
Knjiga 81,Lyra's Oxford,"Philip Pullman, John Lawrence, Philip Pullman","Audiobook, Childrens, Fantasy, Fiction, Short Stories, Steampunk, Young Adult"
Knjiga 82,Thr3e,"Ted Dekker, Ted Dekker","Christian, Christian Fiction, Fiction, Horror, Mystery, Suspense, Thriller"
Knjiga 83,"Fluke: Or, I Know Why the Winged Whale Sings","Christopher Moore, Christopher Moore","Adult, Audiobook, Comedy, Fantasy, Fiction, Humor, Science Fiction"
Knjiga 84,Blood Canticle,"Anne Rice, Anne Rice","Fantasy, Fiction, Horror, Paranormal, Supernatural, Urban Fantasy, Vampires"
Knjiga 85,The Well of Lost Plots,"Jasper Fforde, Jasper Fforde","Audiobook, Books About Books, Fantasy, Fiction, Humor, Mystery, Science Fiction"
Knjiga 86,Milkweed,"Jerry Spinelli, Jerry Spinelli","Fiction, Historical, Historical Fiction, Holocaust, Middle Grade, World War II, Young Adult"
Knjiga 87,The Fortress of Solitude,"Jonathan Lethem, Jonathan Lethem","Contemporary, Fiction, Historical Fiction, Literary Fiction, Literature, New York, Novels"
Knjiga 88,"Marching Powder: A True Story of Friendship, Cocaine, and South America's Strangest Jail","Rusty Young, Thomas McFadden, Rusty Young","Biography, Book Club, Crime, Memoir, Nonfiction, Travel, True Crime"
Knjiga 89,The Confessor,"Daniel Silva, Daniel Silva","Audiobook, Espionage, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 90,Stiff: The Curious Lives of Human Cadavers,"Mary Roach, Mary Roach","Audiobook, Death, Humor, Medical, Medicine, Nonfiction, Science"
Knjiga 91,Angry Housewives Eating Bon Bons,"Lorna Landvik, Lorna Landvik","Adult Fiction, Book Club, Chick Lit, Contemporary, Fiction, Friendship, Humor"
Knjiga 92,Ina May's Guide to Childbirth,"Ina May Gaskin, Ina May Gaskin","Childrens, Family, Health, Nonfiction, Parenting, Self Help, Womens"
Knjiga 93,Haunted,"Meg Cabot, Meg Cabot","Fantasy, Fiction, Ghosts, Paranormal, Romance, Supernatural, Young Adult"
Knjiga 94,Gulag: A History,"Anne Applebaum, Anne Applebaum","History, Nonfiction, Politics, Russia, Russian History, War, World History"
Knjiga 95,The Sex Lives of Cannibals: Adrift in the Equatorial Pacific,"J. Maarten Troost, J. Maarten Troost","Adventure, Biography, Book Club, Humor, Memoir, Nonfiction, Travel"
Knjiga 96,The Gates of Rome,"Conn Iggulden, Conn Iggulden","Audiobook, Fantasy, Fiction, Historical, Historical Fiction, Roman, War"
Knjiga 97,Istanbul: Memories and the City,"Orhan Pamuk, Orhan Pamuk","Biography, History, Memoir, Nonfiction, Travel, Turkish, Turkish Literature"
Knjiga 98,Mao's Last Dancer,"Li Cunxin, Li Cunxin","Autobiography, Biography, Book Club, China, History, Memoir, Nonfiction"
